"THEME","TABLES WITHIN THEMES","FIELD NAME WITHIN SAPS TABLES","DESCRIPTION OF FIELD"
"Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE0M","Age 0 Males"
,"Population aged 0-19 by sex and year of age, persons aged 20+ by sex and age group","T1_1AGE1M","Age 1 Males"
,,"T1_1AGE2M","Age 2 Males"
,,"T1_1AGE3M","Age 3 Males"
,,"T1_1AGE4M","Age 4 Males"
,,"T1_1AGE5M","Age 5 Males"
,,"T1_1AGE6M","Age 6 Males"
,,"T1_1AGE7M","Age 7 Males"
,,"T1_1AGE8M","Age 8 Males"
,,"T1_1AGE9M","Age 9 Males"
,,"T1_1AGE10M","Age 10 Males"
,,"T1_1AGE11M","Age 11 Males"
,,"T1_1AGE12M","Age 12 Males"
,,"T1_1AGE13M","Age 13 Males"
,,"T1_1AGE14M","Age 14 Males"
,,"T1_1AGE15M","Age 15 Males"
,,"T1_1AGE16M","Age 16 Males"
,,"T1_1AGE17M","Age 17 Males"
,,"T1_1AGE18M","Age 18 Males"
,,"T1_1AGE19M","Age 19 Males"
,,"T1_1AGE20_24M","Age 20 -24 Males"
,,"T1_1AGE25_29M","Age 25 -29 Males"
,,"T1_1AGE30_34M","Age 30 -34 Males"
,,"T1_1AGE35_39M","Age 35 -39 Males"
,,"T1_1AGE40_44M","Age 40 -44 Males"
,,"T1_1AGE45_49M","Age 45 -49 Males"
,,"T1_1AGE50_54M","Age 50 -54 Males"
,,"T1_1AGE55_59M","Age 55 -59 Males"
,,"T1_1AGE60_64M","Age 60 -64 Males"
,,"T1_1AGE65_69M","Age 65 -69 Males"
,,"T1_1AGE70_74M","Age 70 -74 Males"
,,"T1_1AGE75_79M","Age 75 -79 Males"
,,"T1_1AGE80_84M","Age 80 -84 Males"
,,"T1_1AGEGE_85M","Age 85+ Males"
,,"T1_1AGETM","Total Males"
,,"T1_1AGE0F","Age 0 Females"
,,"T1_1AGE1F","Age 1 Females"
,,"T1_1AGE2F","Age 2 Females"
,,"T1_1AGE3F","Age 3 Females"
,,"T1_1AGE4F","Age 4 Females"
,,"T1_1AGE5F","Age 5 Females"
,,"T1_1AGE6F","Age 6 Females"
,,"T1_1AGE7F","Age 7 Females"
,,"T1_1AGE8F","Age 8 Females"
,,"T1_1AGE9F","Age 9 Females"
,,"T1_1AGE10F","Age 10 Females"
,,"T1_1AGE11F","Age 11 Females"
,,"T1_1AGE12F","Age 12 Females"
,,"T1_1AGE13F","Age 13 Females"
,,"T1_1AGE14F","Age 14 Females"
,,"T1_1AGE15F","Age 15 Females"
,,"T1_1AGE16F","Age 16 Females"
,,"T1_1AGE17F","Age 17 Females"
,,"T1_1AGE18F","Age 18 Females"
,,"T1_1AGE19F","Age 19 Females"
,,"T1_1AGE20_24F","Age 20 -24 Females"
,,"T1_1AGE25_29F","Age 25 -29 Females"
,,"T1_1AGE30_34F","Age 30 -34 Females"
,,"T1_1AGE35_39F","Age 35 -39 Females"
